,data_type,stream_size,zfp_rate,cache_size,is_zfp,Function,Best Rate MB/s,Avg time,Min time,Max time
303,float,33554432,128,0,True,Triad,85.4,4.871236,4.712659,4.949941
304,float,33554432,256,0,False,Copy,10940.5,0.024809,0.024536,0.025201
305,float,33554432,256,0,False,Scale,11204.9,0.024047,0.023957,0.024126
306,float,33554432,256,0,False,Add,12237.6,0.03298,0.032903,0.033164
307,float,33554432,256,0,False,Triad,12246.9,0.032997,0.032878,0.033101
308,float,33554432,256,0,True,Copy,70.5,3.893711,3.806725,3.96818
309,float,33554432,256,0,True,Scale,69.7,3.920593,3.851905,4.022703
310,float,33554432,256,0,True,Add,83.4,5.001548,4.830825,5.085995
311,float,33554432,256,0,True,Triad,82.4,5.033907,4.883665,5.118026
312,float,33554432,512,0,False,Copy,11170.0,0.024301,0.024032,0.024746
313,float,33554432,512,0,False,Scale,11630.7,0.023182,0.02308,0.023331
314,float,33554432,512,0,False,Add,12580.9,0.032099,0.032005,0.032314
315,float,33554432,512,0,False,Triad,12613.7,0.031986,0.031922,0.032094
316,float,33554432,512,0,True,Copy,53.0,5.185261,5.062223,5.289875
317,float,33554432,512,0,True,Scale,52.4,5.21273,5.127151,5.34138
318,float,33554432,512,0,True,Add,60.6,6.83049,6.640482,6.929539
319,float,33554432,512,0,True,Triad,60.2,6.868007,6.685255,6.9505
320,float,67108864,4,0,False,Copy,10868.5,0.049844,0.049397,0.050443
321,float,67108864,4,0,False,Scale,11494.5,0.046851,0.046707,0.047155
322,float,67108864,4,0,False,Add,12260.5,0.065816,0.065683,0.065899
323,float,67108864,4,0,False,Triad,12294.4,0.065869,0.065502,0.066208
324,float,67108864,4,0,True,Copy,82.1,6.735775,6.539292,6.888191
325,float,67108864,4,0,True,Scale,81.1,6.739304,6.619498,6.875061
326,float,67108864,4,0,True,Add,97.7,8.614238,8.245169,8.817747
327,float,67108864,4,0,True,Triad,97.4,8.626282,8.272121,8.827774
328,float,67108864,8,0,False,Copy,10919.6,0.049756,0.049166,0.050366
329,float,67108864,8,0,False,Scale,11404.3,0.047198,0.047076,0.047328
