,data_type,stream_size,zfp_rate,cache_size,is_zfp,Function,Best Rate MB/s,Avg time,Min time,Max time
100,float,4194304,64,0,True,Copy,73.2,0.471139,0.458591,0.480391
101,float,4194304,64,0,True,Scale,72.1,0.474647,0.465269,0.492386
102,float,4194304,64,0,True,Add,86.6,0.602599,0.581189,0.612776
103,float,4194304,64,0,True,Triad,86.4,0.604477,0.582721,0.615411
104,float,4194304,128,0,False,Copy,15971.1,0.002124,0.002101,0.002146
105,float,4194304,128,0,False,Scale,14953.0,0.002281,0.002244,0.002397
106,float,4194304,128,0,False,Add,16257.7,0.00313,0.003096,0.003257
107,float,4194304,128,0,False,Triad,16305.4,0.003115,0.003087,0.003145
108,float,4194304,128,0,True,Copy,72.3,0.473271,0.464254,0.482459
109,float,4194304,128,0,True,Scale,71.5,0.476153,0.469134,0.490912
110,float,4194304,128,0,True,Add,86.5,0.605524,0.581757,0.62492
111,float,4194304,128,0,True,Triad,85.9,0.608417,0.586218,0.625912
112,float,4194304,256,0,False,Copy,15686.3,0.002164,0.002139,0.002213
113,float,4194304,256,0,False,Scale,14907.1,0.002301,0.002251,0.002417
114,float,4194304,256,0,False,Add,16024.5,0.003167,0.003141,0.003279
115,float,4194304,256,0,False,Triad,16059.8,0.003159,0.003134,0.003221
116,float,4194304,256,0,True,Copy,71.2,0.484223,0.471125,0.500158
117,float,4194304,256,0,True,Scale,70.3,0.489173,0.477427,0.500525
118,float,4194304,256,0,True,Add,84.2,0.622552,0.597496,0.632255
119,float,4194304,256,0,True,Triad,83.3,0.627525,0.603931,0.640924
120,float,4194304,512,0,False,Copy,15709.1,0.002167,0.002136,0.002229
121,float,4194304,512,0,False,Scale,15020.0,0.002276,0.002234,0.002423
122,float,4194304,512,0,False,Add,16143.3,0.003165,0.003118,0.00331
123,float,4194304,512,0,False,Triad,16178.0,0.003146,0.003111,0.003185
124,float,4194304,512,0,True,Copy,53.1,0.647861,0.631578,0.659033
125,float,4194304,512,0,True,Scale,52.0,0.654342,0.644782,0.66595
126,float,4194304,512,0,True,Add,60.7,0.851332,0.829609,0.861961
127,float,4194304,512,0,True,Triad,60.4,0.85459,0.83268,0.863757
128,float,8388608,4,0,False,Copy,12943.2,0.005225,0.005185,0.005267
129,float,8388608,4,0,False,Scale,12819.4,0.005278,0.005235,0.00537
130,float,8388608,4,0,False,Add,13610.5,0.00743,0.007396,0.007486
131,float,8388608,4,0,False,Triad,13528.1,0.007469,0.007441,0.007511
132,float,8388608,4,0,True,Copy,81.9,0.842348,0.819044,0.859973
133,float,8388608,4,0,True,Scale,81.2,0.842105,0.826666,0.858666
134,float,8388608,4,0,True,Add,97.5,1.076697,1.03255,1.102709
135,float,8388608,4,0,True,Triad,96.5,1.079323,1.043548,1.104217
136,float,8388608,8,0,False,Copy,13000.6,0.005192,0.005162,0.005231
137,float,8388608,8,0,False,Scale,12839.3,0.005276,0.005227,0.005316
138,float,8388608,8,0,False,Add,13712.6,0.0074,0.007341,0.007485
139,float,8388608,8,0,False,Triad,13559.0,0.007458,0.007424,0.007507
140,float,8388608,8,0,True,Copy,81.8,0.843414,0.820119,0.8606
141,float,8388608,8,0,True,Scale,81.1,0.995762,0.827656,2.203404
142,float,8388608,8,0,True,Add,97.5,1.078756,1.032015,1.11083
143,float,8388608,8,0,True,Triad,97.2,1.082522,1.0355,1.106633
144,float,8388608,16,0,False,Copy,12890.4,0.005224,0.005206,0.005246
145,float,8388608,16,0,False,Scale,12664.8,0.005317,0.005299,0.005344
146,float,8388608,16,0,False,Add,13597.4,0.007423,0.007403,0.007461
147,float,8388608,16,0,False,Triad,13573.8,0.007451,0.007416,0.007552
148,float,8388608,16,0,True,Copy,82.0,0.842647,0.818077,0.861709
149,float,8388608,16,0,True,Scale,81.1,0.842533,0.827748,0.859514
150,float,8388608,16,0,True,Add,97.6,1.078184,1.031715,1.112963
151,float,8388608,16,0,True,Triad,97.2,1.080705,1.035255,1.109452
152,float,8388608,32,0,False,Copy,12748.5,0.005292,0.005264,0.005335
153,float,8388608,32,0,False,Scale,12640.9,0.005347,0.005309,0.005378
154,float,8388608,32,0,False,Add,13320.3,0.007567,0.007557,0.00758
155,float,8388608,32,0,False,Triad,13306.8,0.007594,0.007565,0.007638
156,float,8388608,32,0,True,Copy,73.7,0.936225,0.910691,0.955419
157,float,8388608,32,0,True,Scale,72.5,0.942959,0.925226,0.970267
158,float,8388608,32,0,True,Add,87.3,1.197539,1.152914,1.21997
159,float,8388608,32,0,True,Triad,86.6,1.205543,1.162574,1.226477
160,float,8388608,64,0,False,Copy,13195.0,0.005112,0.005086,0.005156
161,float,8388608,64,0,False,Scale,12965.2,0.005219,0.005176,0.005269
162,float,8388608,64,0,False,Add,13915.1,0.007262,0.007234,0.007358
163,float,8388608,64,0,False,Triad,13791.0,0.007334,0.007299,0.007365
164,float,8388608,64,0,True,Copy,73.0,0.942056,0.919,0.960665
165,float,8388608,64,0,True,Scale,72.1,0.948833,0.930277,0.976044
166,float,8388608,64,0,True,Add,86.5,1.206147,1.163171,1.226786
167,float,8388608,64,0,True,Triad,85.7,1.218935,1.175206,1.262404
168,float,8388608,128,0,False,Copy,13148.1,0.005134,0.005104,0.005174
169,float,8388608,128,0,False,Scale,12846.3,0.005244,0.005224,0.005272
170,float,8388608,128,0,False,Add,13692.2,0.007372,0.007352,0.007406
171,float,8388608,128,0,False,Triad,13644.0,0.007405,0.007378,0.007426
172,float,8388608,128,0,True,Copy,72.8,0.945424,0.921487,0.964237
173,float,8388608,128,0,True,Scale,71.8,0.952564,0.934446,0.981732
174,float,8388608,128,0,True,Add,86.3,1.209456,1.166001,1.231137
175,float,8388608,128,0,True,Triad,85.6,1.21471,1.176422,1.236765
176,float,8388608,256,0,False,Copy,13033.7,0.005183,0.005149,0.00523
177,float,8388608,256,0,False,Scale,12553.0,0.005379,0.005346,0.005426
178,float,8388608,256,0,False,Add,13600.9,0.007427,0.007401,0.007486
179,float,8388608,256,0,False,Triad,13416.3,0.007525,0.007503,0.007571
180,float,8388608,256,0,True,Copy,71.0,0.969659,0.945752,0.987703
181,float,8388608,256,0,True,Scale,70.1,0.974644,0.957844,0.999529
182,float,8388608,256,0,True,Add,83.4,1.251399,1.206327,1.280303
183,float,8388608,256,0,True,Triad,82.4,1.265197,1.222046,1.291781
184,float,8388608,512,0,False,Copy,13169.0,0.005154,0.005096,0.005199
185,float,8388608,512,0,False,Scale,12923.0,0.005255,0.005193,0.005319
186,float,8388608,512,0,False,Add,13793.3,0.007359,0.007298,0.007407
187,float,8388608,512,0,False,Triad,13712.6,0.007372,0.007341,0.007403
188,float,8388608,512,0,True,Copy,53.5,1.288431,1.255343,1.30904
189,float,8388608,512,0,True,Scale,52.6,1.297841,1.276013,1.332915
190,float,8388608,512,0,True,Add,60.8,1.70119,1.655459,1.725113
191,float,8388608,512,0,True,Triad,60.6,1.707476,1.662307,1.729564
192,float,16777216,4,0,False,Copy,12026.8,0.011198,0.01116,0.011277
193,float,16777216,4,0,False,Scale,12022.4,0.011233,0.011164,0.011298
194,float,16777216,4,0,False,Add,12658.9,0.015955,0.015904,0.016022
195,float,16777216,4,0,False,Triad,12725.3,0.015903,0.015821,0.015987
196,float,16777216,4,0,True,Copy,82.0,1.685854,1.636976,1.720267
197,float,16777216,4,0,True,Scale,81.0,1.685991,1.657005,1.717294
198,float,16777216,4,0,True,Add,97.5,2.163339,2.065344,2.238922
199,float,16777216,4,0,True,Triad,97.3,2.158348,2.069565,2.210834
