,Iteration,RMSE,Time,cache_size,data_type,is_zfp,matrix_width,tile_size,tiled,zfp_rate
175,0,0.0,34.55,2048,double,True,1024,32,True,32
176,1,0.0,34.74,2048,double,True,1024,32,True,32
177,2,0.0,34.74,2048,double,True,1024,32,True,32
178,3,0.0,35.05,2048,double,True,1024,32,True,32
179,4,0.0,34.46,2048,double,True,1024,32,True,32
180,0,0.0,34.48,1024,double,True,1024,32,True,32
181,1,0.0,34.83,1024,double,True,1024,32,True,32
182,2,0.0,34.53,1024,double,True,1024,32,True,32
183,3,0.0,34.45,1024,double,True,1024,32,True,32
184,4,0.0,34.51,1024,double,True,1024,32,True,32
185,0,0.0,331.72,256,double,True,1024,32,True,32
186,1,0.0,331.5,256,double,True,1024,32,True,32
187,2,0.0,333.01,256,double,True,1024,32,True,32
188,3,0.0,332.56,256,double,True,1024,32,True,32
189,4,0.0,331.42,256,double,True,1024,32,True,32
190,0,0.0,35.87,0,double,True,1024,32,True,32
191,1,0.0,35.86,0,double,True,1024,32,True,32
192,2,0.0,35.86,0,double,True,1024,32,True,32
193,3,0.0,35.87,0,double,True,1024,32,True,32
194,4,0.0,35.89,0,double,True,1024,32,True,32
195,0,0.0,342.43,512,double,True,1024,32,True,32
196,1,0.0,341.59,512,double,True,1024,32,True,32
197,2,0.0,343.07,512,double,True,1024,32,True,32
198,3,0.0,341.01,512,double,True,1024,32,True,32
199,4,0.0,347.14,512,double,True,1024,32,True,32
200,0,0.0,0.43,0,double,True,256,32,True,4
201,1,0.0,0.42,0,double,True,256,32,True,4
202,2,0.0,0.41,0,double,True,256,32,True,4
203,3,0.0,0.42,0,double,True,256,32,True,4
204,4,0.0,0.42,0,double,True,256,32,True,4
205,0,0.0,0.53,0,double,True,256,32,True,8
206,1,0.0,0.53,0,double,True,256,32,True,8
207,2,0.0,0.52,0,double,True,256,32,True,8
208,3,0.0,0.52,0,double,True,256,32,True,8
209,4,0.0,0.53,0,double,True,256,32,True,8
210,0,0.0,0.56,0,double,True,256,32,True,16
211,1,0.0,0.55,0,double,True,256,32,True,16
212,2,0.0,0.56,0,double,True,256,32,True,16
213,3,0.0,0.56,0,double,True,256,32,True,16
214,4,0.0,0.57,0,double,True,256,32,True,16
215,0,0.0,0.56,0,double,True,256,32,True,32
216,1,0.0,0.56,0,double,True,256,32,True,32
217,2,0.0,0.56,0,double,True,256,32,True,32
218,3,0.0,0.55,0,double,True,256,32,True,32
219,4,0.0,0.55,0,double,True,256,32,True,32
220,0,0.0,1.42,0,double,True,384,32,True,4
221,1,0.0,1.43,0,double,True,384,32,True,4
222,2,0.0,1.44,0,double,True,384,32,True,4
223,3,0.0,1.43,0,double,True,384,32,True,4
224,4,0.0,1.44,0,double,True,384,32,True,4
225,0,0.0,1.84,0,double,True,384,32,True,8
226,1,0.0,1.84,0,double,True,384,32,True,8
227,2,0.0,1.83,0,double,True,384,32,True,8
228,3,0.0,1.82,0,double,True,384,32,True,8
229,4,0.0,1.82,0,double,True,384,32,True,8
230,0,0.0,1.99,0,double,True,384,32,True,16
231,1,0.0,1.95,0,double,True,384,32,True,16
232,2,0.0,1.97,0,double,True,384,32,True,16
233,3,0.0,1.97,0,double,True,384,32,True,16
234,4,0.0,2.02,0,double,True,384,32,True,16
235,0,0.0,1.95,0,double,True,384,32,True,32
236,1,0.0,1.94,0,double,True,384,32,True,32
237,2,0.0,1.94,0,double,True,384,32,True,32
238,3,0.0,1.94,0,double,True,384,32,True,32
239,4,0.0,1.94,0,double,True,384,32,True,32
240,0,0.0,3.27,0,double,True,512,32,True,4
241,1,0.0,3.27,0,double,True,512,32,True,4
242,2,0.0,3.27,0,double,True,512,32,True,4
243,3,0.0,3.27,0,double,True,512,32,True,4
244,4,0.0,3.27,0,double,True,512,32,True,4
245,0,0.0,4.19,0,double,True,512,32,True,8
246,1,0.0,4.2,0,double,True,512,32,True,8
247,2,0.0,4.2,0,double,True,512,32,True,8
248,3,0.0,4.2,0,double,True,512,32,True,8
249,4,0.0,4.2,0,double,True,512,32,True,8
250,0,0.0,4.47,0,double,True,512,32,True,16
251,1,0.0,4.47,0,double,True,512,32,True,16
252,2,0.0,4.48,0,double,True,512,32,True,16
253,3,0.0,4.47,0,double,True,512,32,True,16
254,4,0.0,4.48,0,double,True,512,32,True,16
255,0,0.0,4.49,0,double,True,512,32,True,32
256,1,0.0,4.52,0,double,True,512,32,True,32
257,2,0.0,4.49,0,double,True,512,32,True,32
258,3,0.0,4.5,0,double,True,512,32,True,32
259,4,0.0,4.49,0,double,True,512,32,True,32
260,0,0.0,11.46,0,double,True,768,32,True,4
261,1,0.0,11.47,0,double,True,768,32,True,4
262,2,0.0,11.49,0,double,True,768,32,True,4
263,3,0.0,11.51,0,double,True,768,32,True,4
264,4,0.0,11.48,0,double,True,768,32,True,4
265,0,0.0,14.71,0,double,True,768,32,True,8
266,1,0.0,14.67,0,double,True,768,32,True,8
267,2,0.0,14.72,0,double,True,768,32,True,8
268,3,0.0,14.66,0,double,True,768,32,True,8
269,4,0.0,14.66,0,double,True,768,32,True,8
270,0,0.0,15.9,0,double,True,768,32,True,16
271,1,0.0,15.67,0,double,True,768,32,True,16
272,2,0.0,15.68,0,double,True,768,32,True,16
273,3,0.0,15.66,0,double,True,768,32,True,16
274,4,0.0,15.76,0,double,True,768,32,True,16
275,0,0.0,15.68,0,double,True,768,32,True,32
276,1,0.0,15.79,0,double,True,768,32,True,32
277,2,0.0,15.79,0,double,True,768,32,True,32
278,3,0.0,15.71,0,double,True,768,32,True,32
279,4,0.0,15.68,0,double,True,768,32,True,32
