,Iteration,Norm,Time,cache_policy,cache_size,data_type,is_zfp,matrix_name,zfp_rate
94,4,0.0,0.0,DEFAULT,1024,double,False,A0,16
95,0,0.0,0.01,DEFAULT,1024,double,True,A0,16
96,1,0.0,0.0,DEFAULT,1024,double,True,A0,16
97,2,0.0,0.0,DEFAULT,1024,double,True,A0,16
98,3,0.0,0.01,DEFAULT,1024,double,True,A0,16
99,4,0.0,0.0,DEFAULT,1024,double,True,A0,16
100,0,0.0,0.0,DEFAULT,32768,double,False,A0,16
101,1,0.0,0.0,DEFAULT,32768,double,False,A0,16
102,2,0.0,0.0,DEFAULT,32768,double,False,A0,16
103,3,0.0,0.0,DEFAULT,32768,double,False,A0,16
104,4,0.0,0.0,DEFAULT,32768,double,False,A0,16
105,0,0.0,0.0,DEFAULT,32768,double,True,A0,16
106,1,0.0,0.0,DEFAULT,32768,double,True,A0,16
107,2,0.0,0.01,DEFAULT,32768,double,True,A0,16
108,3,0.0,0.0,DEFAULT,32768,double,True,A0,16
109,4,0.0,0.0,DEFAULT,32768,double,True,A0,16
110,0,0.0,0.0,DEFAULT,1048576,double,False,A0,16
111,1,0.0,0.0,DEFAULT,1048576,double,False,A0,16
112,2,0.0,0.0,DEFAULT,1048576,double,False,A0,16
113,3,0.0,0.0,DEFAULT,1048576,double,False,A0,16
114,4,0.0,0.0,DEFAULT,1048576,double,False,A0,16
115,0,0.0,0.0,DEFAULT,1048576,double,True,A0,16
116,1,0.0,0.0,DEFAULT,1048576,double,True,A0,16
117,2,0.0,0.0,DEFAULT,1048576,double,True,A0,16
118,3,0.0,0.0,DEFAULT,1048576,double,True,A0,16
119,4,0.0,0.0,DEFAULT,1048576,double,True,A0,16
120,0,0.0,0.0,DEFAULT,0,double,False,A0,32
121,1,0.0,0.0,DEFAULT,0,double,False,A0,32
122,2,0.0,0.0,DEFAULT,0,double,False,A0,32
123,3,0.0,0.0,DEFAULT,0,double,False,A0,32
124,4,0.0,0.0,DEFAULT,0,double,False,A0,32
125,0,0.0,0.01,DEFAULT,0,double,True,A0,32
126,1,0.0,0.0,DEFAULT,0,double,True,A0,32
127,2,0.0,0.01,DEFAULT,0,double,True,A0,32
